Hotel Name,Star Rating,City,Country,Region,Distance from Toronto (km),Price per Night (USD)
Grand Hyatt San Francisco,4,San Francisco,USA,North America,3500,420
Hilton San Francisco,4,San Francisco,USA,North America,3500,360
Marriott San Francisco,4,San Francisco,USA,North America,3500,340
Hotel Drisco San Francisco,4,San Francisco,USA,North America,3500,380
Four Seasons Los Angeles,5,Los Angeles,USA,North America,3400,520
Sunset Tower Hotel LA,5,Los Angeles,USA,North America,3400,480
Chateau Marmont Los Angeles,5,Los Angeles,USA,North America,3400,460
The Ritz-Carlton LA,5,Los Angeles,USA,North America,3400,540
Sofitel Los Angeles,4,Los Angeles,USA,North America,3400,380
Hilton Los Angeles,4,Los Angeles,USA,North America,3400,340
InterContinental Los Angeles,5,Los Angeles,USA,North America,3400,420
J.W. Marriott LA,5,Los Angeles,USA,North America,3400,500
Beverly Hills Hotel,5,Beverly Hills,USA,North America,3400,480
The Peninsula Beverly Hills,5,Beverly Hills,USA,North America,3400,560
Four Seasons Beverly Hills,5,Beverly Hills,USA,North America,3400,540
Regent Beverly Wilshire,5,Beverly Hills,USA,North America,3400,580
Sofitel Beverly Hills,4,Beverly Hills,USA,North America,3400,420
Hilton Beverly Hills,4,Beverly Hills,USA,North America,3400,380
Sunset Plaza Hotel,4,Los Angeles,USA,North America,3400,320
Grand Hotel Los Angeles,3,Los Angeles,USA,North America,3400,260
Hotel Shattuck Plaza Berkeley,4,Berkeley,USA,North America,3500,300
Agate Cove Inn Mendocino,4,Mendocino,USA,North America,3600,280
Hyatt Maui,5,Wailea,USA,North America,5100,580
Fairmont Kea Lani,5,Wailea,USA,North America,5100,540
Grand Wailea Resort,5,Wailea,USA,North America,5100,480
Andaz Maui Resort,4,Wailea,USA,North America,5100,360
Hilton Maui,4,Wailea,USA,North America,5100,340
Hotel Hanalei Bay,4,Kauai,USA,North America,5150,360
Hyatt Kauai,5,Kauai,USA,North America,5150,480
Grand Hyatt Kauai,5,Kauai,USA,North America,5150,520
Princeville Resort,5,Kauai,USA,North America,5150,500
Sheraton Kauai,4,Kauai,USA,North America,5150,360
Hilton Hawaiian Village Waikiki,4,Honolulu,USA,North America,5100,380
Moana Surfrider Waikiki,4,Honolulu,USA,North America,5100,420
Royal Hawaiian Waikiki,5,Honolulu,USA,North America,5100,480
Halekulani Honolulu,5,Honolulu,USA,North America,5100,560
Outrigger Waikiki,4,Honolulu,USA,North America,5100,340
Sheraton Waikiki,4,Honolulu,USA,North America,5100,360
Hyatt Regency Waikiki,4,Honolulu,USA,North America,5100,340
Hilton Honolulu,3,Honolulu,USA,North America,5100,280
Trump Waikiki,5,Honolulu,USA,North America,5100,540
Marriott Waikiki,4,Honolulu,USA,North America,5100,380
Big Island Mauna Lani,5,Kohala Coast,USA,North America,5200,520
Hilton Big Island,4,Kohala Coast,USA,North America,5200,380
Fairmont Big Island,5,Kohala Coast,USA,North America,5200,480
Four Seasons Big Island,5,Kohala Coast,USA,North America,5200,560
Moana Lani Resort,4,Kohala Coast,USA,North America,5200,420
Mauna Kea Beach Hotel,5,Kohala Coast,USA,North America,5200,540
The Ritz-Carlton Kapalua,5,Kapalua,USA,North America,5120,500
Montage Kapalua,5,Kapalua,USA,North America,5120,540
Grand Hotel Miami,4,Miami,USA,North America,1800,300
Epic Hotel Miami,4,Miami,USA,North America,1800,320
SLS Brickell Miami,5,Miami,USA,North America,1800,460
Miami Beachfront Hotel,4,Miami,USA,North America,1800,340
Biscayne Bay Hotel,3,Miami,USA,North America,1800,220
Kimpton Hotel Miami,4,Miami,USA,North America,1800,360
Wynwood Arts Hotel,4,Miami,USA,North America,1800,340
Hilton Miami Downtown,3,Miami,USA,North America,1800,260
Santa Monica Pier Hotel,4,Santa Monica,USA,North America,3450,380
Hilton Santa Monica,4,Santa Monica,USA,North America,3450,360
The Fairmont Miramar,5,Santa Monica,USA,North America,3450,520
Hotel Bel Air,5,Beverly Hills,USA,North America,3400,580
Mandarin Oriental Boston,5,Boston,USA,North America,1400,520
The Ritz-Carlton Boston,5,Boston,USA,North America,1400,540
Four Seasons Boston,5,Boston,USA,North America,1400,560
Fairmont Copley Plaza,5,Boston,USA,North America,1400,480
Hyatt Regency Boston,4,Boston,USA,North America,1400,380
Hilton Boston,4,Boston,USA,North America,1400,340
Marriott Boston,4,Boston,USA,North America,1400,320
InterContinental Boston,4,Boston,USA,North America,1400,400
The Peninsula New York,5,New York City,USA,North America,560,600
Four Seasons New York,5,New York City,USA,North America,560,640
Park Hyatt New York,5,New York City,USA,North America,560,580
Mandarin Oriental New York,5,New York City,USA,North America,560,620
St Regis New York,5,New York City,USA,North America,560,660
Carlyle New York,5,New York City,USA,North America,560,540
The Plaza New York,5,New York City,USA,North America,560,560
Waldorf Astoria New York,5,New York City,USA,North America,560,620
Trump Tower New York,5,New York City,USA,North America,560,580
InterContinental New York,4,New York City,USA,North America,560,420
Hilton New York,4,New York City,USA,North America,560,360
Marriott Marquis New York,4,New York City,USA,North America,560,400
Renaissance New York,4,New York City,USA,North America,560,380
Kimpton New York,4,New York City,USA,North America,560,420
Sofitel New York,4,New York City,USA,North America,560,440
Hyatt Centric New York,4,New York City,USA,North America,560,380
Pod New York,2,New York City,USA,North America,560,140
Candlewood Suites New York,3,New York City,USA,North America,560,260
Astoria Hotel New York,3,New York City,USA,North America,560,220
Chelsea Hotel New York,4,New York City,USA,North America,560,360
Chambers Hotel New York,4,New York City,USA,North America,560,400
The Standard New York,4,New York City,USA,North America,560,380
Soho House New York,5,New York City,USA,North America,560,500
1 Hotel Central Park,5,New York City,USA,North America,560,640
Equinox Hotel New York,5,New York City,USA,North America,560,620
Pendry New York,5,New York City,USA,North America,560,580
Aman New York,5,New York City,USA,North America,560,700
Rosewood New York,5,New York City,USA,North America,560,680
Thompson Central Park,5,New York City,USA,North America,560,600
The Plaza Hotel New York,5,New York City,USA,North America,560,620
Lotte New York Palace,5,New York City,USA,North America,560,560
JW Marriott New York,5,New York City,USA,North America,560,480
Conrad New York,5,New York City,USA,North America,560,520
Langham Place New York,5,New York City,USA,North America,560,580
